
 902861723=1000169|NA|No Records Found|NA|NA|NA|902861723|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861724=1000169|NA|No Records Found|NA|NA|NA|902861724|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861725=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861726=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861727=1000169|NA|No Records Found|NA|NA|NA|902861727|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861728=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861729=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861718=1000169|NA|No Records Found|NA|NA|NA|902861718|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861722=1000169|NA|No Records Found|NA|NA|NA|902861722|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861723=1000169|NA|No Records Found|NA|NA|NA|902861723|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861724=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861725=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861726=1000169|NA|No Records Found|NA|NA|NA|902861726|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861727=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861728=1000169|NA|No Records Found|NA|NA|NA|902861728|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861729=1000169|NA|No Records Found|NA|NA|NA|902861729|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861718=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

